Dispositivo,Mensaje,Tiempo envio (ns),Tiempo llegada (ns),Atraso (ns)
1,255,13,520,507
4,255,533,720,187
0,255,733,1720,987
3,255,1733,1920,187
4,255,1933,4120,2187
1,255,4133,8920,4787
2,255,8933,9920,987
3,255,9933,11520,1587
0,255,11533,12920,1387
4,255,12933,13920,987
0,255,13933,16320,2387
1,255,16333,18720,2387
2,255,18733,21120,2387
3,255,21133,23520,2387
4,255,23533,25920,2387
0,255,25933,28320,2387
1,255,28333,30720,2387
2,255,30733,33120,2387
3,255,33133,35520,2387
0,255,35533,40320,4787
